#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
2645-54477-0124 121613.81+213144.33 018 18.769 0.020 18.351 0.022 18.477 0.022 18.671 0.031 18.865 0.040 0.021 047.8 246.0 080.2 DA        011193 00068 8.387 0.053   35   13 016 00128 00151 00148 0.835 0.033 011107 8.199  -86 -0.188 0.71408 0.02268
2645-54477-0493 121741.91+223743.48 022 18.407 0.069 18.062 0.024 18.039 0.020 18.087 0.032 18.239 0.035 0.022 043.0 241.6 081.1 DA        008875 00040 7.999 0.069   36    7 021 00000 00118 00116 0.597 0.038 008842 7.733  -33 -0.266 0.47816 0.02160
2646-54479-0451 122504.94+234754.86 018 18.608 0.020 18.210 0.014 18.436 0.019 18.653 0.021 19.081 0.048 0.019 065.2 240.7 083.2 DA        013728 00324 8.008 0.042   11   14 016 00053 00226 00224 0.613 0.022 013820 8.008   92 -0.000 0.61334 0.01537
2647-54495-0044 123650.38+211323.27 005 20.471 0.056 20.014 0.022 20.026 0.029 20.152 0.048 20.139 0.105 0.034 018.9 272.7 083.2 sdA       008805 00500 5.500 0.500    0    0 000 00000 00000 00000 0.000 0.000 008696 5.238 -109 -0.262 0.46258 0.10607
2647-54495-0144 123555.29+215833.05 018 18.859 0.026 18.408 0.022 18.443 0.019 18.575 0.030 18.673 0.032 0.020 033.4 267.7 083.8 DA        009598 00039 8.351 0.064   46   11 016 00054 00124 00123 0.810 0.039 009529 8.087  -69 -0.264 0.64773 0.02575
2647-54495-0390 123011.37+230059.98 033 17.732 0.021 17.375 0.032 17.411 0.030 17.496 0.030 17.691 0.020 0.016 163.9 252.3 083.7 DA        009703 00021 8.185 0.030   17    5 031 00135 00088 00088 0.706 0.016 009625 7.920  -78 -0.265 0.55663 0.01117
2647-54495-0539 123512.35+231829.71 033 17.779 0.026 17.350 0.017 17.229 0.028 17.225 0.015 17.360 0.024 0.012 229.7 258.2 084.7 DA        007462 00022 7.652 0.050  -24    3 032 00326 00077 00076 0.439 0.022 007459 7.519   -3 -0.133 0.38259 0.01292
2648-54485-0173 124521.62+222022.12 008 19.726 0.031 19.365 0.027 19.592 0.020 19.789 0.028 20.129 0.098 0.029 030.6 286.5 085.0 DA        014301 00422 7.849 0.094   60   33 007 00187 00433 00432 0.534 0.034 014358 7.850   57  0.001 0.53457 0.02546
2648-54485-0206 124242.48+212244.90 019 18.541 0.023 18.049 0.020 18.049 0.020 18.053 0.017 18.137 0.028 0.032 006.7 283.4 083.9 DA        008001 00036 7.933 0.067    0    0 000 00000 00000 00000 0.000 0.000 007993 7.756   -8 -0.177 0.48523 0.02197
2648-54485-0337 123854.13+230841.32 007 20.168 0.050 19.710 0.024 19.859 0.027 20.082 0.036 20.097 0.090 0.014 024.5 266.8 085.1 DA        012056 00298 8.596 0.108   37   38 006 00514 00259 00258 0.966 0.059 012043 8.448  -13 -0.148 0.87480 0.04753
2648-54485-0419 124416.58+231410.40 051 15.232 0.025 15.354 0.037 15.787 0.060 16.137 0.016 16.410 0.023 0.020 018.0 279.9 085.8 DA        028079 00066 7.921 0.013    8    4 050 01836 00129 00129 0.601 0.006 028079 7.921    0  0.000 0.60103 0.00427
2649-54212-0064 125859.87+214804.85 011 19.203 0.035 18.901 0.022 18.917 0.018 18.990 0.020 19.093 0.044 0.023 084.7 321.2 084.4 DA        009082 00051 8.019 0.070  -53   16 011 00134 00177 00176 0.609 0.038 009039 7.748  -43 -0.271 0.48563 0.02256
2649-54212-0111 125722.64+215713.28 011 19.245 0.051 18.856 0.023 18.883 0.025 18.914 0.037 18.943 0.047 0.029 127.4 317.9 084.7 DA        008235 00064 8.417 0.118   78   14 011 00437 00111 00111 0.850 0.073 008224 8.221  -11 -0.196 0.72084 0.05179
2649-54212-0229 125242.68+215333.94 012 20.022 0.028 18.726 0.016 18.726 0.016 18.620 0.016 18.612 0.038 0.031 055.5 306.2 084.8 DAZ       006126 00061 8.648 0.122    0    0 000 00000 00000 00000 0.000 0.000 006125 8.644   -1 -0.004 0.99006 0.04742
2649-54212-0324 125059.98+232524.03 009 19.553 0.031 19.419 0.031 19.782 0.021 20.063 0.035 20.241 0.117 0.017 013.1 301.4 086.3 DA        017784 00460 7.618 0.085   35   30 008 00365 00661 00660 0.467 0.029 017784 7.618    0  0.000 0.46719 0.02087
2649-54212-0449 125530.60+231457.09 008 19.787 0.065 19.739 0.017 20.096 0.028 20.388 0.041 20.981 0.219 0.022 027.7 316.5 086.0 DA        020981 00714 7.110 0.111   -8   30 007 00320 01297 01293 0.335 0.031 020981 7.110    0  0.000 0.33526 0.02277
2649-54212-0552 125745.72+223402.42 016 19.154 0.016 18.910 0.020 18.910 0.020 19.193 0.026 19.451 0.059 0.029 010.7 320.7 085.2 DA        012302 00139 8.185 0.055    0    0 000 00000 00000 00000 0.000 0.000 012364 8.095   62 -0.090 0.65835 0.02179
2649-54212-0572 125739.71+231232.23 008 20.485 0.067 19.539 0.032 19.190 0.019 19.020 0.019 18.972 0.049 0.021 121.7 323.0 085.8 DA        005482 00107 6.997 0.318   41   19 008 00452 00176 00175 0.223 0.060 005481 6.994   -1 -0.003 0.22270 0.04357
2649-54212-0637 125943.20+222545.78 009 19.329 0.028 19.364 0.017 19.695 0.022 19.992 0.030 20.159 0.108 0.021 015.9 325.2 084.9 DA        022129 00628 7.759 0.086  -36   31 008 00704 00701 00698 0.524 0.022 022129 7.759    0  0.000 0.52359 0.01588
2650-54505-0300 130206.04+211604.51 009 19.507 0.027 19.086 0.023 19.023 0.019 19.053 0.021 19.161 0.045 0.040 039.9 326.0 083.7 DA        008994 00099 7.996 0.181    0   19 009 00222 00184 00183 0.596 0.091 008956 7.726  -38 -0.270 0.47555 0.05228
2650-54505-0362 130228.50+230416.39 012 19.154 0.020 18.824 0.029 18.824 0.029 19.016 0.025 19.183 0.052 0.016 000.0 335.2 085.2 DA        011637 00133 8.180 0.075    0    0 000 00000 00000 00000 0.000 0.000 011612 8.050  -25 -0.130 0.63151 0.02909
2650-54505-0628 131017.14+223630.16 011 19.177 0.041 19.047 0.023 19.390 0.046 19.604 0.029 19.782 0.081 0.012 041.9 347.4 083.8 DA        018705 00339 7.769 0.061   27   23 010 01419 00522 00519 0.523 0.015 018705 7.769    0  0.000 0.52271 0.01036
2651-54507-0073 131755.09+215351.32 010 19.166 0.031 18.738 0.017 18.907 0.026 19.149 0.029 19.404 0.055 0.015 060.4 353.4 082.0 DA        011810 00167 8.046 0.123   21   25 009 00376 00246 00243 0.630 0.068 011812 7.945    2 -0.101 0.57569 0.04207
2652-54508-0082 132357.68+205933.41 009 19.421 0.026 18.951 0.035 19.062 0.024 19.147 0.020 19.361 0.063 0.018 025.6 355.1 080.4 DA        009440 00078 7.792 0.170  -16   23 008 00273 00230 00227 0.508 0.072 009369 7.524  -71 -0.268 0.39346 0.04461
2652-54508-0426 132148.96+222447.62 010 19.460 0.026 19.025 0.021 18.926 0.018 18.904 0.020 19.016 0.038 0.014 102.8 000.2 081.6 DA        007513 00068 7.240 0.229   -6   13 010 00242 00212 00210 0.293 0.061 007509 7.062   -4 -0.178 0.25137 0.03531
2652-54508-0484 132252.13+221516.29 008 19.857 0.035 19.434 0.029 19.688 0.020 19.898 0.028 20.117 0.084 0.015 016.2 000.3 081.4 DA        012941 00314 8.059 0.107   62   33 007 00079 00369 00365 0.639 0.059 013054 8.030  113 -0.029 0.62345 0.04045
2653-54230-0369 132927.25+222418.49 018 18.907 0.024 18.484 0.019 18.577 0.017 18.735 0.021 18.872 0.035 0.014 010.4 006.3 080.2 DA        010375 00048 8.124 0.058   32   11 016 00094 00173 00171 0.671 0.034 010265 7.858 -110 -0.266 0.52753 0.01543
2653-54230-0404 133012.12+224657.00 010 19.383 0.026 19.341 0.031 19.608 0.019 19.881 0.027 20.097 0.090 0.018 023.7 008.7 080.2 DA        011214 00124 8.785 0.082  -19   26 009 00180 00173 00170 1.060 0.043 011087 8.581 -127 -0.204 0.95597 0.03465
2653-54230-0408 133025.70+224813.64 007 19.950 0.036 19.788 0.027 19.983 0.025 20.184 0.031 20.435 0.120 0.018 018.4 009.0 080.2 DAH:      015056 00621 9.026 0.096   88   46 006 00208 00219 00216 1.177 0.039 015056 9.026    0  0.000 1.17708 0.02781
2653-54230-0563 133336.46+224017.45 009 19.909 0.042 19.424 0.018 19.307 0.015 19.267 0.022 19.355 0.051 0.015 083.6 010.2 079.5 DA        007069 00075 6.849 0.108  -35   13 009 00428 00327 00322 0.209 0.017 007067 6.655   -2 -0.194 0.18029 0.00834
2654-54231-0152 134146.06+210332.75 011 19.375 0.025 18.953 0.026 18.928 0.029 18.980 0.065 19.103 0.057 0.023 045.0 007.8 077.0 DA        008164 00062 7.588 0.161   16   14 010 00436 00193 00188 0.413 0.064 008152 7.376  -12 -0.212 0.33796 0.03599
2654-54231-0162 134007.00+204457.26 018 18.521 0.036 18.095 0.026 18.074 0.020 18.105 0.022 18.193 0.029 0.030 033.2 005.7 077.2 DA        008014 00038 7.878 0.089    4    8 017 00376 00109 00106 0.531 0.038 008006 7.697   -8 -0.181 0.45976 0.02755
2654-54231-0407 134001.23+222355.15 013 19.126 0.031 18.698 0.019 18.760 0.026 18.875 0.043 19.083 0.052 0.011 032.0 012.4 078.0 DA        009968 00054 8.340 0.076   22   15 012 00036 00153 00150 0.804 0.047 009877 8.073  -91 -0.267 0.64049 0.03032
2655-54184-0472 120023.70+251242.89 032 17.561 0.015 17.232 0.018 17.437 0.019 17.665 0.018 17.917 0.022 0.016 033.9 219.6 078.4 DA        014027 00143 7.922 0.021   45    7 029 00076 00155 00152 0.569 0.010 014101 7.923   74  0.001 0.57021 0.00730
2656-54484-0024 121231.79+241955.54 011 19.267 0.027 18.868 0.023 19.117 0.024 19.338 0.026 19.551 0.061 0.027 017.1 228.5 080.8 DA        011885 00164 8.142 0.090   83   23 009 01306 00245 00242 0.684 0.051 011896 8.033   11 -0.109 0.62265 0.03445
2657-54502-0026 122100.20+244443.75 009 19.672 0.043 19.283 0.022 19.348 0.017 19.556 0.024 19.909 0.079 0.020 053.8 230.4 082.8 DAH       012928 00685 7.519 0.114  -57   27 008 01652 00455 00451 0.409 0.038 013039 7.518  111 -0.001 0.40891 0.02736
2657-54502-0466 121428.82+254114.22 008 19.819 0.035 19.606 0.029 19.930 0.025 20.197 0.032 20.501 0.137 0.021 019.2 220.7 081.6 DA        018495 00470 7.992 0.087   73   34 007 01203 00575 00569 0.615 0.044 018495 7.992    0  0.000 0.61500 0.03084
2657-54502-0597 122013.48+252218.43 008 19.630 0.032 19.713 0.020 20.099 0.032 20.389 0.038 20.443 0.139 0.021 029.3 225.3 082.8 DA        024218 00691 8.091 0.088   21   38 007 00800 00713 00707 0.678 0.043 024218 8.091    0  0.000 0.67792 0.03023
2659-54498-0290 122812.30+240322.49 037 17.609 0.017 17.229 0.012 17.300 0.017 17.421 0.028 17.558 0.027 0.017 066.0 242.0 083.9 DA        010039 00020 8.193 0.028   38    5 034 00091 00088 00087 0.710 0.015 009942 7.923  -97 -0.270 0.55908 0.01042
2659-54498-0584 123611.99+252225.43 023 18.656 0.033 18.358 0.032 18.358 0.032 18.588 0.015 18.728 0.035 0.014 008.0 239.3 086.2 DA        011318 00062 8.214 0.041    0    0 000 00000 00000 00000 0.000 0.000 011252 8.053  -66 -0.161 0.63241 0.01598
2660-54504-0546 124352.26+252301.64 015 19.049 0.034 18.878 0.023 19.157 0.016 19.434 0.025 19.673 0.058 0.011 047.7 258.3 087.6 DA        017300 00253 7.919 0.051   27   18 013 00609 00406 00406 0.576 0.025 017300 7.919    0  0.000 0.57571 0.01740
2661-54505-0094 125441.04+242653.95 011 19.433 0.024 19.154 0.015 19.154 0.015 19.400 0.026 19.668 0.057 0.011 010.6 318.4 087.2 DA        011749 00146 7.378 0.119    0    0 000 00000 00000 00000 0.000 0.000 011685 7.353  -64 -0.025 0.35010 0.02332
2661-54505-0130 125334.38+242222.18 007 19.799 0.034 19.306 0.013 19.229 0.018 19.233 0.031 19.355 0.046 0.009 092.7 312.9 087.2 DA        007203 00097 7.090 0.379  -22   17 007 00746 00246 00246 0.255 0.087 007200 6.923   -3 -0.167 0.22279 0.04957
2661-54505-0263 124909.47+240135.47 007 19.925 0.038 19.527 0.016 19.650 0.023 19.803 0.030 20.006 0.075 0.015 019.7 293.4 086.9 DA        010981 00156 7.920 0.173   11   33 006 00161 00347 00347 0.560 0.080 010877 7.743 -104 -0.177 0.49065 0.04879
2661-54505-0373 124811.14+252140.49 011 19.232 0.029 18.796 0.018 18.696 0.015 18.675 0.016 18.777 0.034 0.010 018.2 280.3 088.1 DA        007523 00064 8.273 0.125   29   13 011 00204 00101 00101 0.758 0.079 007520 8.163   -3 -0.110 0.68825 0.05484
2661-54505-0488 125322.36+252355.89 008 19.889 0.035 19.586 0.022 19.819 0.020 20.074 0.031 20.123 0.075 0.010 017.6 317.1 088.2 DA        012325 00286 8.752 0.094  138   33 007 01570 00224 00224 1.042 0.049 012313 8.604  -12 -0.148 0.97102 0.03727
2662-54505-0340 125944.77+253938.52 014 19.088 0.026 18.725 0.026 18.813 0.013 19.009 0.019 19.229 0.044 0.012 092.6 355.1 087.6 DA        010903 00079 8.288 0.064   11   16 012 00212 00184 00184 0.775 0.042 010802 8.070 -101 -0.218 0.64074 0.02523
2662-54505-0419 130109.23+252118.67 012 19.256 0.029 18.889 0.020 18.739 0.020 18.726 0.026 18.825 0.038 0.012 093.1 354.3 087.2 DA        007247 00062 7.865 0.147   15   11 012 00339 00127 00127 0.524 0.067 007245 7.771   -2 -0.094 0.48922 0.04363
2662-54505-0603 130620.09+252716.82 014 18.440 0.028 18.673 0.022 19.077 0.021 19.464 0.020 19.677 0.062 0.013 018.9 007.1 086.3 DA        029177 00285 7.479 0.062   32   19 013 00847 00847 00845 0.467 0.016 029177 7.479    0  0.000 0.46738 0.01114
2663-54234-0345 130744.42+244003.45 024 18.002 0.019 17.685 0.016 17.948 0.012 18.206 0.021 18.425 0.028 0.014 011.4 360.0 085.6 DA        015473 00147 7.968 0.031   45   10 022 00652 00206 00205 0.596 0.016 015473 7.968    0  0.000 0.59588 0.01109
2663-54234-0497 131313.38+244950.66 010 19.610 0.040 19.250 0.010 19.210 0.020 19.230 0.030 19.430 0.050 0.000 000.0 000.0 000.0 DA        008312 00069 8.175 0.121    0    0 000 00000 00000 00000 0.000 0.000 008299 7.965  -13 -0.210 0.57733 0.04319
2663-54234-0504 131400.76+250535.41 020 18.502 0.018 18.210 0.015 18.210 0.015 18.384 0.017 18.349 0.026 0.012 006.0 012.3 084.5 DA        011384 00072 8.236 0.045    0    0 000 00000 00000 00000 0.000 0.000 011325 8.080  -59 -0.156 0.64748 0.01778
2664-54524-0585 132732.55+242941.20 007 19.597 0.033 19.346 0.017 19.579 0.017 19.776 0.025 19.975 0.071 0.010 045.9 017.0 081.5 DA        020022 00773 7.362 0.112  -42   33 007 00000 00838 00829 0.391 0.039 020022 7.362    0  0.000 0.39084 0.01950
2665-54232-0543 133515.21+243130.96 010 19.484 0.028 19.084 0.017 19.213 0.016 19.381 0.020 19.642 0.067 0.010 068.0 020.6 079.8 DA        010565 00093 8.257 0.098    7   22 009 00502 00215 00212 0.752 0.061 010455 8.001 -110 -0.256 0.60193 0.03759
2665-54232-0570 133626.24+245502.52 013 19.054 0.029 18.603 0.026 18.536 0.013 18.584 0.016 18.618 0.037 0.009 071.3 023.1 079.7 DA        007810 00051 7.600 0.138   16   10 013 00274 00155 00153 0.417 0.056 007804 7.426   -6 -0.174 0.35217 0.03239
2666-54230-0143 134333.65+231403.34 021 18.503 0.019 18.086 0.013 18.086 0.013 18.233 0.021 18.358 0.029 0.011 009.9 017.5 077.6 DA        010543 00047 8.105 0.055    0    0 000 00000 00000 00000 0.000 0.000 010431 7.851 -112 -0.254 0.52487 0.01421
2666-54230-0274 133907.10+232435.78 018 18.581 0.021 18.234 0.014 18.468 0.019 18.732 0.022 19.038 0.040 0.016 031.7 016.5 078.6 DA        014777 00241 7.935 0.049   47   15 015 00270 00258 00253 0.578 0.024 014777 7.935    0  0.000 0.57756 0.01722
2666-54230-0570 134705.92+241857.53 022 18.526 0.022 18.092 0.015 18.178 0.018 18.220 0.020 18.407 0.028 0.014 070.1 023.4 077.2 DA        009744 00032 8.522 0.043  -14    9 020 00001 00098 00095 0.918 0.027 009666 8.259  -78 -0.263 0.75180 0.02158
2669-54086-0274 044027.07+111233.52 013 19.243 0.019 18.521 0.014 18.521 0.014 18.574 0.017 18.625 0.030 0.346 008.7 186.2 -22.6 DA        017636 00361 7.700 0.069    0    0 000 00000 00000 00000 0.000 0.000 017636 7.700    0  0.000 0.49792 0.01749
2669-54086-0377 044254.59+120329.90 019 18.735 0.053 18.467 0.015 18.450 0.013 18.486 0.024 18.594 0.032 0.599 012.2 185.9 -21.6 DAH       018243 09000 8.000 1.000    0    0 000 00000 00000 00000 0.000 0.000 018243 8.000    0  0.000 0.61851 0.30891
2669-54086-0535 044444.86+121100.06 013 19.664 0.037 19.004 0.015 18.910 0.013 18.945 0.016 19.056 0.044 0.409 036.6 186.0 -21.1 DA        016198 00276 8.016 0.058  106   22 012 01190 00274 00098 0.622 0.030 016198 8.016    0  0.000 0.62249 0.02126
2670-54115-0138 081900.41+363805.91 038 17.633 0.019 17.408 0.016 17.711 0.011 17.955 0.016 18.252 0.024 0.041 043.0 185.0 032.6 DA        016913 00096 7.911 0.020  -17    6 033 00000 00203 00109 0.571 0.014 016913 7.911    0  0.000 0.57106 0.00679
2670-54115-0149 081856.05+372949.51 060 16.294 0.026 16.314 0.024 16.674 0.018 16.973 0.020 17.297 0.021 0.046 030.0 184.0 032.7 DA        022692 00077 7.892 0.011    5    3 057 00904 00163 00088 0.576 0.005 022692 7.892    0  0.000 0.57558 0.00337
2670-54115-0379 081626.37+391220.07 043 17.676 0.018 17.344 0.022 17.545 0.015 17.750 0.013 17.991 0.028 0.035 019.2 181.9 032.6 DA        011163 00029 8.275 0.017   34    4 039 01848 00105 00057 0.767 0.012 011080 8.091  -83 -0.184 0.65330 0.00686
2670-54115-0451 081818.20+384706.66 045 17.559 0.017 17.355 0.021 17.608 0.016 17.894 0.016 18.178 0.034 0.036 039.9 182.5 032.8 DA        016426 00063 7.871 0.014    6    5 041 00225 00197 00107 0.550 0.007 016426 7.871    0  0.000 0.54977 0.00464
2670-54115-0545 082032.33+382848.07 067 15.387 0.009 15.523 0.019 15.974 0.016 16.277 0.017 16.616 0.018 0.031 108.9 182.9 033.2 DA        026925 00067 7.973 0.010   22    3 066 00472 00130 00071 0.623 0.005 026925 7.973    0  0.000 0.62334 0.00334
2671-54141-0121 084958.32+093847.72 023 18.737 0.021 18.594 0.015 18.786 0.017 18.904 0.019 19.074 0.041 0.047 033.5 217.8 030.7 DA        007618 00043 9.286 0.053   40   10 021 03625 00041 00021 1.264 0.015 007614 9.145   -4 -0.141 1.22052 0.01311
2671-54141-0183 084904.05+102849.38 021 19.307 0.025 18.822 0.016 18.787 0.017 18.809 0.018 18.893 0.038 0.034 072.0 216.8 030.8 DA        007998 00034 7.435 0.090  -36    6 020 00153 00197 00100 0.356 0.029 007988 7.231  -10 -0.204 0.29374 0.01787
2671-54141-0193 084916.69+104530.13 017 19.023 0.023 19.597 0.020 19.597 0.020 19.974 0.041 20.126 0.080 0.036 007.2 216.6 031.0 DA        028170 00260 7.853 0.048    0    0 000 00000 00000 00000 0.000 0.000 028170 7.853    0  0.000 0.57079 0.01466
2671-54141-0195 084906.51+104719.32 014 19.658 0.039 19.512 0.023 19.738 0.020 20.056 0.041 20.273 0.091 0.035 015.8 216.5 031.0 DA        019628 00293 8.271 0.050  -12   22 012 02372 00449 00231 0.777 0.031 019628 8.271    0  0.000 0.77693 0.02214
2671-54141-0361 084913.70+113339.52 010 20.564 0.049 20.051 0.022 20.167 0.026 20.229 0.037 20.175 0.073 0.023 036.0 215.7 031.3 DA        009903 00077 8.311 0.110  -24   22 009 00082 00287 00149 0.787 0.070 009815 8.045  -88 -0.266 0.62465 0.04324
2671-54141-0374 084820.59+112905.06 013 19.761 0.043 19.648 0.017 19.935 0.024 20.356 0.050 20.512 0.103 0.022 024.3 215.7 031.1 DA        019377 00320 7.924 0.055  -91   21 012 00635 00634 00327 0.583 0.026 019377 7.924    0  0.000 0.58287 0.01858
2671-54141-0472 084857.41+111933.86 011 20.173 0.038 19.838 0.021 20.054 0.021 20.280 0.039 20.446 0.115 0.028 013.6 215.9 031.2 DA        012850 00234 8.233 0.080  111   23 010 00505 00380 00197 0.738 0.049 012949 8.179   99 -0.054 0.70760 0.03382
2671-54141-0473 084903.66+105218.52 012 19.975 0.020 20.123 0.024 20.123 0.024 20.410 0.036 20.509 0.143 0.033 009.9 216.4 031.0 DA        016818 00301 7.879 0.062    0    0 000 00000 00000 00000 0.000 0.000 016818 7.879    0  0.000 0.55467 0.02031
2671-54141-0567 085334.47+114503.56 017 19.402 0.028 19.354 0.024 19.695 0.021 19.923 0.025 20.097 0.083 0.033 016.7 216.0 032.4 DA        023230 00342 7.835 0.044   41   16 015 00000 00678 00363 0.550 0.027 023230 7.835    0  0.000 0.55029 0.01346
2671-54141-0574 085403.83+113658.85 006 20.999 0.065 20.599 0.029 20.599 0.033 20.712 0.046 20.603 0.128 0.032 026.8 216.2 032.4 DA        009398 00107 8.181 0.186   33   30 006 00054 00357 00191 0.704 0.111 009339 7.913  -59 -0.268 0.55221 0.06308
2671-54141-0580 085415.40+120231.06 010 20.071 0.021 20.256 0.026 20.256 0.026 20.490 0.041 20.680 0.151 0.036 000.0 215.8 032.7 DA        022237 00589 7.790 0.080    0    0 000 00000 00000 00000 0.000 0.000 022237 7.790    0  0.000 0.52858 0.01744
2672-54085-0302 051226.69+164651.82 012 19.762 0.018 19.963 0.019 19.963 0.019 20.150 0.032 20.311 0.113 0.288 010.0 186.1 -13.0 DA        034296 00660 7.529 0.103    0    0 000 00000 00000 00000 0.000 0.000 034296 7.529    0  0.000 0.50305 0.01548
2672-54085-0543 052016.37+171002.96 023 19.548 0.011 19.173 0.012 19.173 0.012 19.265 0.017 19.469 0.059 0.245 010.8 186.8 -11.2 DA        017619 00153 8.614 0.029    0    0 000 00000 00000 00000 0.000 0.000 017619 8.614    0  0.000 0.98081 0.01208
2673-54096-0049 044641.49+101510.96 007 20.817 0.069 20.073 0.022 19.903 0.021 19.867 0.028 20.078 0.093 0.451 045.6 188.0 -21.9 DA+M      010380 00118 8.263 0.179  -67   35 006 01863 00245 00091 0.756 0.110 010272 7.995 -108 -0.268 0.59822 0.06383
2673-54096-0276 043917.78+104247.94 006 19.956 0.040 20.123 0.019 20.319 0.025 20.537 0.042 20.558 0.136 0.296 024.2 186.5 -23.1 DA        044031 02472 8.089 0.247  183   99 006 00000 00910 00357 0.709 0.168 044031 8.089    0  0.000 0.70905 0.08399
2673-54096-0329 044012.91+114208.69 006 20.939 0.079 20.229 0.022 20.068 0.023 20.045 0.032 20.257 0.117 0.315 067.1 185.8 -22.3 DA        011927 00946 7.119 0.136   -8   41 005 00130 00542 00206 0.287 0.030 011844 7.114  -83 -0.005 0.28587 0.02089
2673-54096-0352 043830.43+111404.99 014 19.949 0.016 19.140 0.030 19.140 0.030 19.209 0.029 19.303 0.054 0.337 009.4 185.9 -22.9 DA        015465 00297 7.914 0.061    0    0 000 00000 00000 00000 0.000 0.000 015465 7.914    0  0.000 0.56897 0.02095
2673-54096-0407 044414.25+121038.92 006 20.729 0.068 20.163 0.020 19.874 0.020 19.853 0.030 20.019 0.099 0.428 032.1 186.0 -21.2 DAE       007823 00088 6.767 0.093 -160   20 007 00407 00396 00143 0.201 0.013 007814 6.520   -9 -0.247 0.17663 0.00341
