element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""3386.2972""","=""0.0013""","=""3386.2961""","=""0.0007""","=""0.19""","=""7.e+02""",D,"=""105238.815""","=""108191.894""","=""3d6.(3P2).4d""","=""2D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Ar,2,"=""3386.3298""","=""0.0005""","=""3386.3318""","=""0.0010""","=""27""","=""""",,"=""206245.6390""","=""209198.6869""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""",,"=""""","=""L11520""",
Fe,2,"=""3386.707""","=""0.003""","=""3386.7056""","=""0.0008""","=""0.11""","=""""",,"=""104507.058""","=""107459.780""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c139""",
C,1,"=""3388.5101""","=""0.0007""","=""3388.5096""","=""0.0006""","=""14000""","=""1.98e+06""",B,"=""80801.28887""","=""83752.4388""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T6070n""","=""L12175c183""",
Ne,2,"=""3388.514""","=""0.006""","=""3388.5142""","=""0.0023""","=""15""","=""""",,"=""312903.4650""","=""315854.611""","=""2s2.2p4.(3P).6s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).6p""","=""4S*""","=""3/2""",,"=""""","=""L11301""",
Ne,1,"=""3390.9054""","=""0.0004""","=""3390.9059""","=""0.0010""","=""450""","=""3.40e+06""",B+,"=""163657.2726""","=""166606.3370""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L9097""",
Ne,1,"=""3391.2263""","=""0.0004""","=""3391.2269""","=""0.0010""","=""440""","=""1.07e+06""",B+,"=""163707.7261""","=""166656.5114""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Fe,2,"=""3391.7634""","=""0.0009""","=""3391.7621""","=""0.0010""","=""0.19""","=""""",,"=""106863.620""","=""109811.940""","=""3d6.(5D).6p""","=""4D*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3392.2350""","=""0.0004""","=""3392.2355""","=""0.0010""","=""1200""","=""2.92e+06""",B+,"=""163708.6029""","=""166656.5114""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
V,1,"=""3393.599""","=""0.002""","=""3393.591""","=""0.006""","=""150""","=""1.7e+06""",C,"=""43147.306""","=""46094.037""","=""3d4.(5D).5p""","=""s 4F*""","=""7/2""","=""3d4.(5D).6s""","=""4D""","=""5/2""",,"=""u38""","=""L11697""",
C,1,"=""3394.2646""","=""0.0016""","=""3394.2677""","=""0.0003""","=""4300""","=""3.6e+05""",B,"=""80801.28887""","=""83747.43248""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.4d""","=""3F*""","=""2""",,"=""T6070n""","=""L12175c183""",
Ne,1,"=""3395.2413""","=""0.0006""","=""3395.2406""","=""0.0016""","=""7""","=""""",,"=""168378.7113""","=""171324.0107""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L9097""",
Mg,1,"=""3397.084""","=""0.010""","=""3397.127""","=""0.010""","=""275""","=""1.41e+06""",A,"=""46403.065""","=""49346.729""","=""3s.3d""","=""1D""","=""2""","=""3s.4p""","=""1P*""","=""1""",,"=""c45""","=""L6692""",
Fe,2,"=""3398.9159""","=""0.0002""","=""3398.9154""","=""0.0013""","=""1.7""","=""""",,"=""103950.602""","=""106892.717""","=""3d6.(5D).5d""","=""6F""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c148""",
Fe,2,"=""3399.065""","=""0.005""","=""3399.0679""","=""0.0007""","=""0.05""","=""""",,"=""103921.637""","=""106863.620""","=""3d6.(3H).4d""","=""4G""","=""7/2""","=""3d6.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
Ar,2,"=""3399.1349""","=""0.0007""","=""3399.1346""","=""0.0005""","=""16""","=""""",,"=""199525.2465""","=""202467.1718""","=""3s2.3p4.(1D).4d""","=""2P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Fe,2,"=""3399.2224""","=""0.0004""","=""3399.2216""","=""0.0006""","=""0.7""","=""""",,"=""104630.429""","=""107572.279""","=""3d6.(5D).5d""","=""6F""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3399.560""","=""0.004""","=""3399.5648""","=""0.0008""","=""0.07""","=""""",,"=""103683.078""","=""106624.631""","=""3d6.(5D).5d""","=""4F""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3399.6462""","=""0.0008""","=""3399.6452""","=""0.0016""","=""4""","=""""",,"=""167591.2335""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Cr,1,"=""3400.533""","=""0.012""","=""3400.5348""","=""0.0019""","=""1""","=""""",,"=""44080.9973""","=""47021.7112""","=""3d5.(6S).4d""","=""e 5D""","=""2""","=""3d5.(4P).4p""","=""u 5P*""","=""1""",,"=""""","=""L14866""",
Fe,1,"=""3401.103""","=""0.009""","=""3401.1037""","=""0.0016""","=""550""","=""""",,"=""53610.412""","=""56550.634""","=""3d7.(4F).5p""","=""5D*""","=""4""","=""3d6.4s.(6D).5d""","=""5G""","=""5""",,"=""""","=""L11631""",
Th,3,"=""3401.7863""","=""0.0008""","=""3401.7864""","=""0.0003""","=""13""","=""""",,"=""7500.60523""","=""10440.2372""","=""5f.7s""","=""*""","=""3""","=""6d2""","=""3P""","=""2""",,"=""""","=""L9974""",
Xe,1,"=""3402.39""","=""""","=""3402.392+""","=""0.016""","=""150:""","=""""",,"=""85440.017""","=""88379.126""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""""","=""L2228""",
Fe,2,"=""3404.061""","=""0.004""","=""3404.0630""","=""0.0008""","=""0.07""","=""""",,"=""103771.342""","=""106709.008""","=""3d6.(3H).4d""","=""4G""","=""9/2""","=""3d6.(5D).6p""","=""4F*""","=""9/2""",,"=""""","=""L18349c139""",
C,1,"=""3407.50170""","=""0.00023""","=""3407.50170""","=""0.00023""","=""35000""","=""3.2e+06""",B,"=""80562.88550""","=""83497.58690""","=""2s2.2p.4p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1D*""","=""2""",,"=""T5520,T6070""","=""L12175c183""",
Ne,2,"=""3407.680""","=""0.005""","=""3407.680""","=""0.005""","=""20""","=""""",,"=""314927.6979""","=""317862.246""","=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).6d""","=""4D""","=""5/2""",,"=""""","=""L11301""",
Xe,1,"=""3408.41""","=""""","=""3408.408+""","=""0.016""","=""90:""","=""""",,"=""77185.041""","=""80118.962""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",,"=""""","=""L2228""",
Th,1,"=""3408.4936""","=""0.0013""","=""3408.49556""","=""0.00015""","=""1""","=""""",,"=""21738.05013""","=""24671.89582""","=""5f.6d2.7s""","=""5G*""","=""2""","=""6d3.(2D1).7s""","=""3D""","=""2""",,"=""""","=""L9974""",
Th,1,"=""3409.2776""","=""0.0008""","=""3409.27681""","=""0.00008""","=""9""","=""""",,"=""14465.221873""","=""17398.39526""","=""6d2.7s.7p""","=""5G*""","=""2""","=""6d3.(4F).7s""","=""""","=""3""",,"=""""","=""L9974""",
Ar,2,"=""3409.3036""","=""0.0024""","=""3409.3021""","=""0.0022""","=""19bl""","=""""",,"=""208673.3904""","=""211606.5420""","=""3s2.3p4.(3P).6d""","=""4F""","=""5/2""","=""3s2.3p4.(3P<1>).6f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Cr,1,"=""3409.787""","=""0.012""","=""3409.7881""","=""0.0021""","=""1""","=""""",,"=""44088.9776""","=""47021.7112""","=""3d5.(6S).4d""","=""e 5D""","=""1""","=""3d5.(4P).4p""","=""u 5P*""","=""1""",,"=""""","=""L14866""",
Th,1,"=""3411.1199""","=""0.0007""","=""3411.11979""","=""0.00007""","=""17""","=""""",,"=""24259.77463""","=""27191.36326""","=""""","=""*""","=""4""","=""5f.6d.7s.7p""","=""5G""","=""5""",,"=""""","=""L9974""",
Fe,2,"=""3412.4608""","=""0.0009""","=""3412.4615""","=""0.0006""","=""0.19""","=""""",,"=""104107.939""","=""107038.375""","=""3d6.(3P2).4d""","=""4F""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3413.211""","=""0.002""","=""3413.2081""","=""0.0013""","=""0.07bl(Fe I)""","=""""",,"=""107498.510""","=""110428.305""","=""3d6.(5D).6p""","=""4D*""","=""3/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c148""",
Fe,1,"=""3413.211""","=""0.023""","=""3413.210""","=""0.003""","=""145bl""","=""""",,"=""54289.034""","=""57218.827""","=""3d7.(4F).5p""","=""3F*""","=""3""","=""3d7.(4F).6s""","=""3F""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""3413.310""","=""0.003""","=""3413.309""","=""0.003""","=""275""","=""""",,"=""53586.510""","=""56516.218""","=""3d7.(4F).5p""","=""5G*""","=""5""","=""3d7.(4F).6s""","=""5F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""3413.800""","=""0.003""","=""3413.8035""","=""0.0013""","=""0.11""","=""""",,"=""104569.226""","=""107498.510""","=""3d6.(3P2).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3414.0648""","=""0.0004""","=""3414.0649""","=""0.0010""","=""360""","=""5.39e+05""",B+,"=""162899.1169""","=""165828.1766""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Th,1,"=""3416.8419""","=""0.0008""","=""3416.84143""","=""0.00009""","=""11""","=""""",,"=""21738.05013""","=""24664.72970""","=""5f.6d2.7s""","=""5G*""","=""2""","=""5f.6d.7s.7p""","=""5F""","=""3""",,"=""""","=""L9974""",
C,1,"=""3416.8781""","=""0.0018""","=""3416.87681""","=""0.00020""","=""1200""","=""1.82e+05""",B,"=""80834.62491""","=""83761.27417""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.4d""","=""3F*""","=""3""",,"=""T6070n""","=""L12175c183""",
Fe,1,"=""3416.992""","=""0.023""","=""3416.993""","=""0.003""","=""186bl""","=""""",,"=""51604.103""","=""54530.653""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""","=""3d7.(4F).5p""","=""5D*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""3418.1175""","=""0.0012""","=""3418.1186""","=""0.0007""","=""0.22""","=""""",,"=""104572.924""","=""107498.510""","=""3d6.(3P2).4d""","=""4F""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3418.2351""","=""0.0018""","=""3418.2343""","=""0.0006""","=""0.17""","=""""",,"=""103683.078""","=""106608.565""","=""3d6.(5D).5d""","=""4F""","=""9/2""","=""3d6.(5D).6p""","=""6D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3418.366""","=""0.004""","=""3418.369""","=""0.003""","=""288""","=""""",,"=""54603.140""","=""57528.512""","=""3d7.(4F).5p""","=""5D*""","=""1""","=""3d7.(4F).6s""","=""5F""","=""2""",,"=""""","=""L11631""",
Th,2,"=""3419.0819""","=""0.0013""","=""3419.08225""","=""0.00023""","=""1""","=""""",,"=""12219.97621""","=""15144.73767""","=""6d2.(1D).7s""","=""2D""","=""3/2""","=""5f.6d.(3P*).7s""","=""*""","=""3/2""",,"=""""","=""L9974""",
Br,1,"=""3419.119""","=""""","=""3419.12+""","=""0.17""","=""150:""","=""""",,"=""82661.57""","=""85586.30""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""3/2""",,"=""""","=""L1505""",
Ar,2,"=""3420.919""","=""0.004""","=""3420.9196""","=""0.0007""","=""4""","=""""",,"=""202155.9425""","=""205079.1331""","=""3s2.3p4.(3P).5d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""3422.3968""","=""0.0013""","=""3422.3965""","=""0.0004""","=""8""","=""""",,"=""187589.3383""","=""190511.2674""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Fe,1,"=""3423.425""","=""0.009""","=""3423.4242""","=""0.0017""","=""91""","=""""",,"=""45595.086""","=""48516.138""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""","=""3d7.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L11631""",
S,1,"=""3424.363""","=""0.010""","=""3424.362""","=""0.010""","=""2""","=""2.95e+06""",D+,"=""71351.399""","=""74271.651""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).5p""","=""3P""","=""0""",,"=""T7952""","=""L119""",
Fe,1,"=""3424.605""","=""0.004""","=""3424.6024""","=""0.0017""","=""178""","=""""",,"=""51944.784""","=""54864.831""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,"=""""","=""L11631""",
S,1,"=""3426.779""","=""0.010""","=""3426.769""","=""0.010""","=""6""","=""2.95e+06""",C,"=""71351.399""","=""74269.600""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).5p""","=""3P""","=""1""",,"=""T7952""","=""L119""",
Fe,2,"=""3426.8513""","=""0.0008""","=""3426.8510""","=""0.0005""","=""0.5bl(Fe I)""","=""""",,"=""104120.244""","=""107038.375""","=""3d6.(5D).5d""","=""6P""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""""","=""L18349c148""",
Fe,1,"=""3426.852""","=""0.004""","=""3426.8557""","=""0.0017""","=""1350""","=""""",,"=""48289.871""","=""51207.998""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""1""",,"=""""","=""L11631""",
Ar,2,"=""3426.9187""","=""0.0015""","=""3426.9173""","=""0.0004""","=""7""","=""""",,"=""187589.3383""","=""190507.4128""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ne,1,"=""3427.6169""","=""0.0009""","=""3427.6171""","=""0.0017""","=""5""","=""""",,"=""167639.5697""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
S,1,"=""3428.012""","=""0.010""","=""3428.006""","=""0.010""","=""12""","=""2.94e+06""",C,"=""71351.399""","=""74268.547""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).5p""","=""3P""","=""2""",,"=""T7952""","=""L119""",
C,1,"=""3428.211""","=""0.004""","=""3428.2040""","=""0.0014""","=""3800q""","=""6.e+05""",D+,"=""83497.58690""","=""86414.5662""","=""2s2.2p.4d""","=""1D*""","=""2""","=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""3""",,"=""T9787""","=""L12175c183""",
Fe,1,"=""3428.379""","=""0.004""","=""3428.3794""","=""0.0017""","=""560""","=""""",,"=""47606.114""","=""50522.944""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""6""",,"=""""","=""L11631""",
Ar,2,"=""3428.9969""","=""0.0004""","=""3428.9969""","=""0.0006""","=""34""","=""""",,"=""200234.9579""","=""203151.2627""","=""3s2.3p4.(1D).4d""","=""2F""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""5/2""",,"=""""","=""L11520""",
Th,1,"=""3429.6967""","=""0.0009""","=""3429.69633""","=""0.00011""","=""5""","=""""",,"=""25442.68552""","=""28358.39555""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""3429.9868""","=""0.0009""","=""3429.9869""","=""0.0007""","=""1.2""","=""1.66e+05""",B+,"=""87985.667""","=""90901.130""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D).5p""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
I,1,"=""3430.456""","=""""","=""3430.456""","=""0.008""","=""150:""","=""""",,"=""65644.476""","=""68559.540""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""7/2""",,"=""""","=""L1505""",
C,1,"=""3431.186""","=""0.003""","=""3431.1871""","=""0.0016""","=""1600""","=""7.e+05""",D+,"=""83497.58690""","=""86412.0301""","=""2s2.2p.4d""","=""1D*""","=""2""","=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",,"=""T9787""","=""L12175c183""",
Fe,2,"=""3431.7782""","=""0.0018""","=""3431.7808""","=""0.0011""","=""0.16""","=""3.4e+04""",C+,"=""103882.740""","=""106796.679""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""3432.840""","=""0.004""","=""3432.8376""","=""0.0017""","=""162""","=""""",,"=""44677.006""","=""47590.048""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""3432.8693""","=""0.0018""","=""3432.8658""","=""0.0005""","=""0.19""","=""""",,"=""103950.602""","=""106863.620""","=""3d6.(5D).5d""","=""6F""","=""9/2""","=""3d6.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
Ne,2,"=""3433.491""","=""0.003""","=""3433.492""","=""0.003""","=""37""","=""""",,"=""314927.6979""","=""317840.185""","=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).6d""","=""4D""","=""7/2""",,"=""""","=""L11301""",
Th,1,"=""3433.7084""","=""0.0011""","=""3433.70634""","=""0.00007""","=""3""","=""""",,"=""24084.94271""","=""26997.24767""","=""6d2.7s.7p""","=""5G*""","=""6""","=""5f.6d.7s.7p""","=""5I""","=""6""",,"=""""","=""L9974""",
Xe,1,"=""3434.00""","=""1.00""","=""3434.462+""","=""0.017""","=""450""","=""1.40e+06""",B,"=""85440.017""","=""88351.681""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",,"=""T8608n,T6672""","=""L4227c110""",
Fe,2,"=""3434.057""","=""0.003""","=""3434.0589""","=""0.0008""","=""0.08""","=""""",,"=""105460.233""","=""108372.239""","=""3d6.(3F2).4d""","=""4D""","=""3/2""","=""3d6.(3P2).5p""","=""4S*""","=""3/2""",,"=""""","=""L18349c139""",
Th,1,"=""3434.2441""","=""0.0013""","=""3434.24359""","=""0.00005""","=""1""","=""""",,"=""7502.287636""","=""10414.13700""","=""6d3.(4F).7s""","=""5F""","=""3""","=""5f.6d.7s2""","=""1G*""","=""4""",,"=""""","=""L9974""",
Fe,2,"=""3435.779""","=""0.003""","=""3435.7767""","=""0.0007""","=""0.06""","=""""",,"=""104839.990""","=""107750.540""","=""3d6.(3F2).4d""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3436.356""","=""0.009""","=""3436.3517""","=""0.0017""","=""85""","=""""",,"=""48238.847""","=""51148.910""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5S""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""3436.430""","=""0.002""","=""3436.4344""","=""0.0007""","=""0.09bl(Fe I)""","=""8.e+02""",D,"=""104107.939""","=""107017.932""","=""3d6.(3P2).4d""","=""4F""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""3436.431""","=""0.009""","=""3436.4249""","=""0.0017""","=""110""","=""""",,"=""48238.847""","=""51148.848""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,"=""""","=""L11631""",
Ne,1,"=""3438.3050""","=""0.0007""","=""3438.3045""","=""0.0017""","=""3""","=""""",,"=""167648.6382""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Fe,1,"=""3438.546""","=""0.018""","=""3438.546""","=""0.011""","=""468""","=""""",,"=""56761.878""","=""59670.084""","=""3d6.4s.(6D).5d""","=""5F""","=""5""","=""3d6.4s.(6D<7/2>).5f""","=""2[13/2]*""","=""6""",,"=""""","=""L11631""",
Fe,2,"=""3438.6021""","=""0.0019""","=""3438.6027""","=""0.0006""","=""0.17""","=""""",,"=""104828.163""","=""107736.321""","=""3d6.(5D).5d""","=""6D""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c148""",
Fe,1,"=""3440.515""","=""0.004""","=""3440.5145""","=""0.0017""","=""316""","=""""",,"=""50703.870""","=""53610.412""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""","=""3d7.(4F).5p""","=""5D*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""3441.386""","=""0.004""","=""3441.386""","=""0.003""","=""490""","=""""",,"=""53610.412""","=""56516.218""","=""3d7.(4F).5p""","=""5D*""","=""4""","=""3d7.(4F).6s""","=""5F""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""3442.038""","=""0.004""","=""3442.0375""","=""0.0017""","=""790""","=""""",,"=""45061.329""","=""47966.585""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""3442.375""","=""0.004""","=""3442.3740""","=""0.0017""","=""780""","=""""",,"=""45333.875""","=""48238.847""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""3444.189""","=""0.004""","=""3444.1892""","=""0.0017""","=""170""","=""""",,"=""47929.997""","=""50833.438""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""5""",,"=""""","=""L11631""",
Ar,2,"=""3445.820""","=""0.004""","=""3445.8172""","=""0.0007""","=""7""","=""""",,"=""189654.8487""","=""192556.9179""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Fe,2,"=""3447.357""","=""0.002""","=""3447.3582""","=""0.0006""","=""0.11""","=""""",,"=""104828.163""","=""107728.935""","=""3d6.(5D).5d""","=""6D""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3448.0836""","=""0.0004""","=""3448.0840""","=""0.0010""","=""590""","=""1.44e+06""",B+,"=""163012.6247""","=""165912.7861""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Cr,1,"=""3449.662""","=""0.012""","=""3449.6608""","=""0.0013""","=""2""","=""""",,"=""44068.8470""","=""46967.6827""","=""3d5.(6S).4d""","=""e 5D""","=""3""","=""3d5.(4P).4p""","=""u 5P*""","=""2""",,"=""""","=""L14866""",
Ne,1,"=""3449.9275""","=""0.0004""","=""3449.9284""","=""0.0010""","=""240""","=""1.70e+06""",B+,"=""163707.7261""","=""166606.3370""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L9097""",
Fe,1,"=""3450.505""","=""0.010""","=""3450.5056""","=""0.0017""","=""123""","=""""",,"=""51705.014""","=""54603.140""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""","=""3d7.(4F).5p""","=""5D*""","=""1""",,"=""""","=""L11631""",
Ar,2,"=""3451.3914""","=""0.0009""","=""3451.3910""","=""0.0004""","=""13""","=""""",,"=""200110.4236""","=""203007.8061""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
I,1,"=""3452.495""","=""""","=""3452.495""","=""0.008""","=""40:""","=""""",,"=""72294.881""","=""75191.337""","=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""5/2""",,"=""""","=""L1505""",
Fe,2,"=""3452.643""","=""0.002""","=""3452.6441""","=""0.0006""","=""0.13""","=""""",,"=""104839.990""","=""107736.321""","=""3d6.(3F2).4d""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
Ti,1,"=""3452.829""","=""0.014""","=""3452.837""","=""0.007""","=""5""","=""""",,"=""29661.250""","=""32557.419""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""1""","=""3d3.(2D1).4s""","=""3D""","=""1""",,"=""""","=""L10989""",
